eventTimestamp,userID,sessionID,platform,userCountry,realCurrencyAmount,realCurrencyAmount,realCurrencyType,,,,,,,,,,,,
2019-11-03,102454,31fb20b8-3fd3-4e39-8ed6-3de326e136aa,ANDROID,DE,549,5.49,EUR,,,,,,,,,,,,
2019-11-03,103847,12edb910-0323-4c6f-ad72-afd21dfab4a8,ANDROID,US,499,4.99,USD,,,,,,,,,,,,
2019-11-03,68623,a9f30cc7-1442-418f-9d30-c8b64b48baf1,ANDROID,US,99,0.99,USD,,,,,,,,,,,,
2019-11-03,103784,37e9bb3e-67db-48e5-b3e8-26205e8c3ba9,IOS,DK,4500,45,DKK,,,,,,,,,,,,
2019-11-03,68623,a9f30cc7-1442-418f-9d30-c8b64b48baf1,ANDROID,US,1999,19.99,USD,,,,,,,,,,,,
2019-11-03,103775,702f2d25-cbce-4174-a4c3-71d1d0a79f8d,ANDROID,DE,549,5.49,EUR,,,,,,,,,,,,
2019-11-03,103711,4e69d7a6-834d-44f0-b10a-88370d5cbb93,ANDROID,US,499,4.99,USD,,,,,,,,,,,,
2019-11-03,103711,4e69d7a6-834d-44f0-b10a-88370d5cbb93,ANDROID,US,1999,19.99,USD,,,,,,,,,,,,
2019-11-03,103711,4e69d7a6-834d-44f0-b10a-88370d5cbb93,ANDROID,US,1999,19.99,USD,,,,,,,,,,,,
2019-11-03,20057,e852ac26-1a83-440b-919d-2b9f5be4dc83,IOS,US,0,0,NA,,,,,,,,,,,,
2019-11-03,20057,e852ac26-1a83-440b-919d-2b9f5be4dc83,IOS,US,0,0,NA,,,,,,,,,,,,
2019-11-03,20057,e852ac26-1a83-440b-919d-2b9f5be4dc83,IOS,US,0,0,NA,,,,,,,,,,,,
2019-11-03,103961,ad7fbacb-78de-485a-b4ad-3f39002b0dce,ANDROID,US,499,4.99,USD,,,,,,,,,,,,
2019-11-03,103818,ddca6331-ce37-4752-9578-fcf62389eef1,ANDROID,DE,549,5.49,EUR,,,,,,,,,,,,
2019-11-04,28682,c19ce85f-ae4a-409d-99ed-a185ed6d69e7,IOS,US,499,4.99,USD,,,,,,,,,,,,
2019-11-04,103969,bed86aec-0a56-4ee5-b690-9111bb1d3fe6,ANDROID,US,1999,19.99,USD,,,,,,,,,,,,
